Match_no,Match_Between,Bowling_Team,Bowler_Name,Overs,Maidens,Runs,Wickets,Economy
24,Australia vs Netherlands,Australia,Josh Hazlewood,6,0,27,1,4.5
24,Australia vs Netherlands,Australia,Pat Cummins,4,0,14,1,3.5
24,Australia vs Netherlands,Australia,Mitchell Marsh,4,0,19,2,4.75
24,Australia vs Netherlands,Australia,Adam Zampa,3,0,8,4,2.667
25,England vs Sri Lanka,Sri Lanka,Dilshan Madushanka,5,0,37,0,7.4
25,England vs Sri Lanka,Sri Lanka,Kasun Rajitha,7,0,36,2,5.143
25,England vs Sri Lanka,Sri Lanka,Maheesh Theekshana,8.2,1,21,1,2.52
25,England vs Sri Lanka,Sri Lanka,Angelo Mathews,5,1,14,2,2.8
25,England vs Sri Lanka,Sri Lanka,Lahiru Kumara,7,0,35,3,5
25,England vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,1,0,10,0,10
25,England vs Sri Lanka,England,Chris Woakes,6,0,30,0,5
25,England vs Sri Lanka,England,David Willey,5,0,30,2,6
25,England vs Sri Lanka,England,Adil Rashid,4.4,0,39,0,8.357
25,England vs Sri Lanka,England,Mark Wood,4,0,23,0,5.75
25,England vs Sri Lanka,England,Liam Livingstone,3,0,17,0,5.667
25,England vs Sri Lanka,England,Moeen Ali,3,0,21,0,7
26,Pakistan vs South Africa,South Africa,Marco Jansen,9,1,43,3,4.78
26,Pakistan vs South Africa,South Africa,Lungi Ngidi,7.4,0,45,1,5.87
26,Pakistan vs South Africa,South Africa,Aiden Markram,4,0,20,0,5
26,Pakistan vs South Africa,South Africa,Keshav Maharaj,9,0,56,0,6.22
26,Pakistan vs South Africa,South Africa,Gerald Coetzee,7,0,42,2,6
26,Pakistan vs South Africa,South Africa,Tabraiz Shamsi,10,0,60,4,6
26,Pakistan vs South Africa,Pakistan,Iftikhar Ahmed,3,0,23,0,7.667
26,Pakistan vs South Africa,Pakistan,Shaheen Afridi,10,0,45,3,4.5
26,Pakistan vs South Africa,Pakistan,Mohammad Nawaz,6.2,0,40,0,6.316
26,Pakistan vs South Africa,Pakistan,Haris Rauf,10,0,62,2,6.2
26,Pakistan vs South Africa,Pakistan,Mohammad Wasim Jr,10,1,50,2,5
26,Pakistan vs South Africa,Pakistan,Usama Mir,8,0,45,2,5.625
27,Australia vs New Zealand,New Zealand,Matt Henry,6.2,0,67,1,10.58
27,Australia vs New Zealand,New Zealand,Trent Boult,10,0,77,3,7.7
27,Australia vs New Zealand,New Zealand,Lockie Ferguson,3,0,38,0,12.67
27,Australia vs New Zealand,New Zealand,Mitchell Santner,10,0,80,2,8
27,Australia vs New Zealand,New Zealand,Glenn Phillips,10,0,37,3,3.7
27,Australia vs New Zealand,New Zealand,Rachin Ravindra,8,0,56,0,7
27,Australia vs New Zealand,New Zealand,Jimmy Neesham,2,0,32,1,16
27,Australia vs New Zealand,Australia,Mitchell Starc,9,0,89,0,9.889
27,Australia vs New Zealand,Australia,Josh Hazlewood,9,0,70,2,7.778
27,Australia vs New Zealand,Australia,Pat Cummins,10,0,66,2,6.6
27,Australia vs New Zealand,Australia,Glenn Maxwell,10,0,62,1,6.2
27,Australia vs New Zealand,Australia,Adam Zampa,10,0,74,3,7.4
27,Australia vs New Zealand,Australia,Mitchell Marsh,2,0,18,0,9
28,Netherlands vs Bangladesh,Bangladesh,Shoriful Islam,10,0,51,2,5.1
28,Netherlands vs Bangladesh,Bangladesh,Taskin Ahmed,9,1,43,2,4.78
28,Netherlands vs Bangladesh,Bangladesh,Shakib Al Hasan,10,1,37,1,3.7
28,Netherlands vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,4,0,17,0,4.25
28,Netherlands vs Bangladesh,Bangladesh,Mustafizur Rahman,10,1,36,2,3.6
28,Netherlands vs Bangladesh,Bangladesh,Mahedi Hasan,7,0,40,2,5.71
28,Netherlands vs Bangladesh,Netherlands,Aryan Dutt,10,3,26,1,2.6
28,Netherlands vs Bangladesh,Netherlands,Logan van Beek,9,1,30,1,3.333
28,Netherlands vs Bangladesh,Netherlands,Colin Ackermann,7,1,25,1,3.571
28,Netherlands vs Bangladesh,Netherlands,Paul van Meekeren,7.2,0,23,4,3.136
28,Netherlands vs Bangladesh,Netherlands,Bas de Leede,7,0,25,2,3.571
28,Netherlands vs Bangladesh,Netherlands,Shariz Ahmad,2,0,13,0,6.5
29,India vs England,England,David Willey,10,2,45,3,4.5
29,India vs England,England,Chris Woakes,9,1,33,2,3.67
29,India vs England,England,Adil Rashid,10,0,35,2,3.5
29,India vs England,England,Mark Wood,9,1,46,1,5.11
29,India vs England,England,Liam Livingstone,4,1,29,0,7.25
29,India vs England,England,Moeen Ali,8,0,37,0,4.63
29,India vs England,India,Jasprit Bumrah,6.5,1,32,3,4.683
29,India vs England,India,Mohammed Siraj,6,0,33,0,5.5
29,India vs England,India,Mohammed Shami,7,2,22,4,3.143
29,India vs England,India,Kuldeep Yadav,8,0,24,2,3
29,India vs England,India,Ravindra Jadeja,7,1,16,1,2.286
30,Sri Lanka vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,10,0,38,2,3.8
30,Sri Lanka vs Afghanistan,Afghanistan,Fazalhaq Farooqi,10,1,34,4,3.4
30,Sri Lanka vs Afghanistan,Afghanistan,Naveen-ul-Haq,6.3,0,47,0,7.231
30,Sri Lanka vs Afghanistan,Afghanistan,Azmatullah Omarzai,7,0,37,1,5.286
30,Sri Lanka vs Afghanistan,Afghanistan,Rashid Khan,10,0,50,1,5
30,Sri Lanka vs Afghanistan,Afghanistan,Mohammad Nabi,6,0,33,0,5.5
30,Sri Lanka vs Afghanistan,Sri Lanka,Dilshan Madushanka,9,0,48,2,5.333
30,Sri Lanka vs Afghanistan,Sri Lanka,Kasun Rajitha,10,0,48,1,4.8
30,Sri Lanka vs Afghanistan,Sri Lanka,Angelo Mathews,3,0,18,0,6
30,Sri Lanka vs Afghanistan,Sri Lanka,Dushmantha Chameera,9.2,0,51,0,5.464
30,Sri Lanka vs Afghanistan,Sri Lanka,Maheesh Theekshana,10,0,55,0,5.5
30,Sri Lanka vs Afghanistan,Sri Lanka,Dhananjaya de Silva,4,0,21,0,5.25
31,Bangladesh vs Pakistan,Pakistan,Shaheen Afridi,9,1,23,3,2.556
31,Bangladesh vs Pakistan,Pakistan,Iftikhar Ahmed,10,0,44,1,4.4
31,Bangladesh vs Pakistan,Pakistan,Haris Rauf,8,0,36,2,4.5
31,Bangladesh vs Pakistan,Pakistan,Mohammad Wasim Jr,8.1,1,31,3,3.796
31,Bangladesh vs Pakistan,Pakistan,Usama Mir,10,0,66,1,6.6
31,Bangladesh vs Pakistan,Bangladesh,Taskin Ahmed,6,1,36,0,6
31,Bangladesh vs Pakistan,Bangladesh,Shoriful Islam,4,1,25,0,6.25
31,Bangladesh vs Pakistan,Bangladesh,Mehidy Hasan Miraz,9,0,60,3,6.667
31,Bangladesh vs Pakistan,Bangladesh,Mustafizur Rahman,7,0,47,0,6.714
31,Bangladesh vs Pakistan,Bangladesh,Shakib Al Hasan,5.3,0,30,0,5.455
31,Bangladesh vs Pakistan,Bangladesh,Najmul Hossain Shanto,1,0,5,0,5
32,South Africa vs New Zealand,New Zealand,Trent Boult,10,1,49,1,4.9
32,South Africa vs New Zealand,New Zealand,Matt Henry,5.3,0,31,0,5.636
32,South Africa vs New Zealand,New Zealand,Tim Southee,10,0,77,2,7.7
32,South Africa vs New Zealand,New Zealand,Mitchell Santner,10,0,58,0,5.8
32,South Africa vs New Zealand,New Zealand,Glenn Phillips,7,0,52,0,7.429
32,South Africa vs New Zealand,New Zealand,Rachin Ravindra,2,0,17,0,8.5
32,South Africa vs New Zealand,New Zealand,Jimmy Neesham,5.3,0,69,1,12.545
32,South Africa vs New Zealand,South Africa,Marco Jansen,8,1,31,3,3.875
32,South Africa vs New Zealand,South Africa,Lungi Ngidi,6,1,28,0,4.667
32,South Africa vs New Zealand,South Africa,Kagiso Rabada,6,2,16,1,2.667
32,South Africa vs New Zealand,South Africa,Gerald Coetzee,6.3,0,41,2,6.308
32,South Africa vs New Zealand,South Africa,Keshav Maharaj,9,0,46,4,5.111
33,India vs Sri Lanka,Sri Lanka,Dilshan Madushanka,10,0,80,5,8
33,India vs Sri Lanka,Sri Lanka,Dushmantha Chameera,10,2,71,1,7.1
33,India vs Sri Lanka,Sri Lanka,Kasun Rajitha,9,0,65,0,7.22
33,India vs Sri Lanka,Sri Lanka,Angelo Mathews,3,0,11,0,3.67
33,India vs Sri Lanka,Sri Lanka,Maheesh Theekshana,10,0,67,0,6.7
33,India vs Sri Lanka,Sri Lanka,Dushan Hemantha,8,0,52,0,6.5
33,India vs Sri Lanka,India,Jasprit Bumrah,5,1,8,1,1.6
33,India vs Sri Lanka,India,Mohammed Siraj,7,2,16,3,2.286
33,India vs Sri Lanka,India,Mohammed Shami,5,1,18,5,3.6
33,India vs Sri Lanka,India,Kuldeep Yadav,2,0,3,0,1.5
33,India vs Sri Lanka,India,Ravindra Jadeja,0.4,0,4,1,6
34,Netherlands vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,10,0,40,1,4
34,Netherlands vs Afghanistan,Afghanistan,Fazalhaq Farooqi,5,0,36,0,7.2
34,Netherlands vs Afghanistan,Afghanistan,Azmatullah Omarzai,3,0,11,0,3.667
34,Netherlands vs Afghanistan,Afghanistan,Mohammad Nabi,9.3,1,28,3,2.947
34,Netherlands vs Afghanistan,Afghanistan,Rashid Khan,10,0,31,0,3.1
34,Netherlands vs Afghanistan,Afghanistan,Noor Ahmad,9,0,31,2,3.444
34,Netherlands vs Afghanistan,Netherlands,Aryan Dutt,8.3,0,49,0,5.765
34,Netherlands vs Afghanistan,Netherlands,Logan van Beek,7,0,30,1,4.286
34,Netherlands vs Afghanistan,Netherlands,Paul van Meekeren,5,0,35,0,7
34,Netherlands vs Afghanistan,Netherlands,Roelof van der Merwe,5,0,27,1,5.4
34,Netherlands vs Afghanistan,Netherlands,Saqib Zulfiqar,3,0,25,1,8.333
34,Netherlands vs Afghanistan,Netherlands,Colin Ackermann,3,0,12,0,4
35,New Zealand vs Pakistan,Pakistan,Shaheen Afridi,10,0,90,0,9
35,New Zealand vs Pakistan,Pakistan,Hasan Ali,10,0,82,1,8.2
35,New Zealand vs Pakistan,Pakistan,Iftikhar Ahmed,8,0,55,1,6.88
35,New Zealand vs Pakistan,Pakistan,Haris Rauf,10,0,85,1,8.5
35,New Zealand vs Pakistan,Pakistan,Mohammad Wasim Jr,10,0,60,3,6
35,New Zealand vs Pakistan,Pakistan,Agha Salman,2,0,21,0,10.5
35,New Zealand vs Pakistan,New Zealand,Trent Boult,6,0,50,0,8.333
35,New Zealand vs Pakistan,New Zealand,Tim Southee,5,0,27,1,5.4
35,New Zealand vs Pakistan,New Zealand,Mitchell Santner,5,0,35,0,7
35,New Zealand vs Pakistan,New Zealand,Glenn Phillips,5,1,42,0,8.4
35,New Zealand vs Pakistan,New Zealand,Ish Sodhi,4,0,44,0,11
35,New Zealand vs Pakistan,New Zealand,Daryl Mitchell,0.3,0,1,0,2
36,Australia vs England,England,David Willey,10,1,48,1,4.8
36,Australia vs England,England,Chris Woakes,9.3,0,54,4,5.684
36,Australia vs England,England,Mark Wood,10,0,70,2,7
36,Australia vs England,England,Liam Livingstone,6,0,42,1,7
36,Australia vs England,England,Moeen Ali,4,0,28,0,7
36,Australia vs England,England,Adil Rashid,10,0,38,2,3.8
36,Australia vs England,Australia,Mitchell Starc,10,0,66,2,6.6
36,Australia vs England,Australia,Josh Hazlewood,9.1,1,49,2,5.345
36,Australia vs England,Australia,Pat Cummins,10,1,49,2,4.9
36,Australia vs England,Australia,Adam Zampa,10,0,21,3,2.1
36,Australia vs England,Australia,Travis Head,5,0,28,0,5.6
36,Australia vs England,Australia,Marcus Stoinis,4,0,34,1,8.5
37,India vs South Africa,South Africa,Lungi Ngidi,8.2,0,63,1,7.56
37,India vs South Africa,South Africa,Marco Jansen,9.4,0,94,1,9.72
37,India vs South Africa,South Africa,Kagiso Rabada,10,1,48,1,4.8
37,India vs South Africa,South Africa,Keshav Maharaj,10,0,30,1,3
37,India vs South Africa,South Africa,Tabraiz Shamsi,10,0,72,1,7.2
37,India vs South Africa,South Africa,Aiden Markram,2,0,17,0,8.5
37,India vs South Africa,India,Jasprit Bumrah,5,0,14,0,2.8
37,India vs South Africa,India,Mohammed Siraj,4,1,11,1,2.75
37,India vs South Africa,India,Ravindra Jadeja,9,1,33,5,3.667
37,India vs South Africa,India,Mohammed Shami,4,0,18,2,4.5
37,India vs South Africa,India,Kuldeep Yadav,5.1,1,7,2,1.355
38,Sri Lanka vs Bangladesh,Bangladesh,Shoriful Islam,9.3,0,51,2,5.37
38,Sri Lanka vs Bangladesh,Bangladesh,Taskin Ahmed,10,1,39,0,3.9
38,Sri Lanka vs Bangladesh,Bangladesh,Tanzim Hasan,10,0,80,3,8
38,Sri Lanka vs Bangladesh,Bangladesh,Shakib Al Hasan,10,0,57,2,5.7
38,Sri Lanka vs Bangladesh,Bangladesh,Mehidy Hasan Miraz,10,0,49,1,4.9
38,Sri Lanka vs Bangladesh,Sri Lanka,Dilshan Madushanka,10,1,69,3,6.9
38,Sri Lanka vs Bangladesh,Sri Lanka,Maheesh Theekshana,9,0,44,2,4.889
38,Sri Lanka vs Bangladesh,Sri Lanka,Kasun Rajitha,4,0,47,0,11.75
38,Sri Lanka vs Bangladesh,Sri Lanka,Dushmantha Chameera,8,0,54,0,6.75
38,Sri Lanka vs Bangladesh,Sri Lanka,Angelo Mathews,7.1,1,35,2,4.884
38,Sri Lanka vs Bangladesh,Sri Lanka,Dhananjaya de Silva,3,0,20,0,6.667
39,Afghanistan vs Australia,Australia,Mitchell Starc,9,0,70,1,7.78
39,Afghanistan vs Australia,Australia,Josh Hazlewood,9,0,39,2,4.33
39,Afghanistan vs Australia,Australia,Glenn Maxwell,10,0,55,1,5.5
39,Afghanistan vs Australia,Australia,Pat Cummins,8,0,47,0,5.88
39,Afghanistan vs Australia,Australia,Adam Zampa,10,0,58,1,5.8
39,Afghanistan vs Australia,Australia,Travis Head,3,0,15,0,5
39,Afghanistan vs Australia,Australia,Marcus Stoinis,1,0,2,0,2
39,Afghanistan vs Australia,Afghanistan,Mujeeb Ur Rahman,8.5,1,72,0,8.151
39,Afghanistan vs Australia,Afghanistan,Naveen-ul-Haq,9,0,47,2,5.222
39,Afghanistan vs Australia,Afghanistan,Azmatullah Omarzai,7,1,52,2,7.429
39,Afghanistan vs Australia,Afghanistan,Rashid Khan,10,0,44,2,4.4
39,Afghanistan vs Australia,Afghanistan,Noor Ahmad,10,1,53,0,5.3
39,Afghanistan vs Australia,Afghanistan,Mohammad Nabi,2,0,20,0,10
40,England vs Netherlands,Netherlands,Aryan Dutt,10,0,67,2,6.7
40,England vs Netherlands,Netherlands,Logan van Beek,10,0,88,2,8.8
40,England vs Netherlands,Netherlands,Paul van Meekeren,10,0,57,1,5.7
40,England vs Netherlands,Netherlands,Bas de Leede,10,0,74,3,7.4
40,England vs Netherlands,Netherlands,Roelof van der Merwe,3,0,22,0,7.333
40,England vs Netherlands,Netherlands,Colin Ackermann,7,0,31,0,4.429
40,England vs Netherlands,England,Chris Woakes,7,0,19,1,2.714
40,England vs Netherlands,England,David Willey,7,2,19,2,2.714
40,England vs Netherlands,England,Gus Atkinson,7,0,41,0,5.857
40,England vs Netherlands,England,Moeen Ali,8.2,0,42,3,5.04
40,England vs Netherlands,England,Adil Rashid,8,0,54,3,6.75
41,Sri Lanka vs New Zealand,New Zealand,Trent Boult,10,3,37,3,3.7
41,Sri Lanka vs New Zealand,New Zealand,Tim Southee,8,0,52,1,6.5
41,Sri Lanka vs New Zealand,New Zealand,Lockie Ferguson,10,2,35,2,3.5
41,Sri Lanka vs New Zealand,New Zealand,Mitchell Santner,10,2,22,2,2.2
41,Sri Lanka vs New Zealand,New Zealand,Rachin Ravindra,7.4,0,21,2,2.739
41,Sri Lanka vs New Zealand,New Zealand,Glenn Phillips,1,0,3,0,3
41,Sri Lanka vs New Zealand,Sri Lanka,Dilshan Madushanka,6.2,0,58,0,9.158
41,Sri Lanka vs New Zealand,Sri Lanka,Maheesh Theekshana,7,0,43,1,6.143
41,Sri Lanka vs New Zealand,Sri Lanka,Dhananjaya de Silva,2,0,22,0,11
41,Sri Lanka vs New Zealand,Sri Lanka,Dushmantha Chameera,4,1,20,1,5
41,Sri Lanka vs New Zealand,Sri Lanka,Angelo Mathews,4,0,29,2,7.25
42,Afghanistan vs South Africa,South Africa,Kagiso Rabada,10,0,40,0,4
42,Afghanistan vs South Africa,South Africa,Lungi Ngidi,8.3,0,69,2,8.118
42,Afghanistan vs South Africa,South Africa,Aiden Markram,4.3,0,25,0,5.556
42,Afghanistan vs South Africa,South Africa,Gerald Coetzee,10,1,44,4,4.4
42,Afghanistan vs South Africa,South Africa,Keshav Maharaj,10,1,25,2,2.5
42,Afghanistan vs South Africa,South Africa,Andile Phehlukwayo,7,0,36,1,5.143
42,Afghanistan vs South Africa,Afghanistan,Mujeeb Ur Rahman,10,0,51,1,5.1
42,Afghanistan vs South Africa,Afghanistan,Naveen-ul-Haq,6.3,0,52,0,8
42,Afghanistan vs South Africa,Afghanistan,Mohammad Nabi,10,1,35,2,3.5
42,Afghanistan vs South Africa,Afghanistan,Azmatullah Omarzai,1,0,8,0,8
42,Afghanistan vs South Africa,Afghanistan,Rashid Khan,10,1,37,2,3.7
42,Afghanistan vs South Africa,Afghanistan,Noor Ahmad,9,0,49,0,5.444
42,Afghanistan vs South Africa,Afghanistan,Rahmat Shah,1,0,12,0,12
43,Bangladesh vs Australia,Australia,Josh Hazlewood,7,1,21,0,3
43,Bangladesh vs Australia,Australia,Pat Cummins,8,0,56,0,7
43,Bangladesh vs Australia,Australia,Sean Abbott,10,0,61,2,6.1
43,Bangladesh vs Australia,Australia,Mitchell Marsh,4,0,48,0,12
43,Bangladesh vs Australia,Australia,Adam Zampa,10,0,32,2,3.2
43,Bangladesh vs Australia,Australia,Travis Head,6,0,33,0,5.5
43,Bangladesh vs Australia,Australia,Marcus Stoinis,5,0,45,1,9
43,Bangladesh vs Australia,Bangladesh,Taskin Ahmed,10,0,61,1,6.1
43,Bangladesh vs Australia,Bangladesh,Mahedi Hasan,9,0,38,0,4.222
43,Bangladesh vs Australia,Bangladesh,Nasum Ahmed,10,0,85,0,8.5
43,Bangladesh vs Australia,Bangladesh,Mehidy Hasan Miraz,6,0,47,0,7.833
43,Bangladesh vs Australia,Bangladesh,Mustafizur Rahman,9.4,1,76,1,7.862
44,England vs Pakistan,Pakistan,Shaheen Afridi,10,1,72,2,7.2
44,England vs Pakistan,Pakistan,Haris Rauf,10,0,64,3,6.4
44,England vs Pakistan,Pakistan,Iftikhar Ahmed,7,0,38,1,5.429
44,England vs Pakistan,Pakistan,Mohammad Wasim Jr,10,0,74,2,7.4
44,England vs Pakistan,Pakistan,Shadab Khan,10,0,57,0,5.7
44,England vs Pakistan,Pakistan,Agha Salman,3,0,25,0,8.333
44,England vs Pakistan,England,David Willey,10,0,56,3,5.6
44,England vs Pakistan,England,Chris Woakes,5.3,0,27,1,4.909
44,England vs Pakistan,England,Adil Rashid,10,0,55,2,5.5
44,England vs Pakistan,England,Gus Atkinson,8,0,45,2,5.625
44,England vs Pakistan,England,Moeen Ali,10,0,60,2,6
45,India vs Netherlands,Netherlands,Aryan Dutt,7,0,52,0,7.429
45,India vs Netherlands,Netherlands,Logan van Beek,10,0,107,0,10.7
45,India vs Netherlands,Netherlands,Colin Ackermann,3,0,25,0,8.333
45,India vs Netherlands,Netherlands,Paul van Meekeren,10,0,90,1,9
45,India vs Netherlands,Netherlands,Roelof van der Merwe,10,0,53,1,5.3
45,India vs Netherlands,Netherlands,Bas de Leede,10,0,82,2,8.2
45,India vs Netherlands,India,Jasprit Bumrah,9,1,33,2,3.667
45,India vs Netherlands,India,Mohammed Siraj,6,1,29,2,4.833
45,India vs Netherlands,India,Mohammed Shami,6,0,41,0,6.833
45,India vs Netherlands,India,Kuldeep Yadav,10,1,41,2,4.1
45,India vs Netherlands,India,Ravindra Jadeja,9,0,49,2,5.444
45,India vs Netherlands,India,Virat Kohli,3,0,13,1,4.333
45,India vs Netherlands,India,Shubman Gill,2,0,11,0,5.5
45,India vs Netherlands,India,Suryakumar Yadav,2,0,17,0,8.5
45,India vs Netherlands,India,Rohit Sharma,0.5,0,7,1,8.4
46,India vs New Zealand,New Zealand,Trent Boult,10,0,86,1,8.6
46,India vs New Zealand,New Zealand,Tim Southee,10,0,100,3,10
46,India vs New Zealand,New Zealand,Mitchell Santner,10,1,51,0,5.1
46,India vs New Zealand,New Zealand,Lockie Ferguson,8,0,65,0,8.125
46,India vs New Zealand,New Zealand,Rachin Ravindra,7,0,60,0,8.571
46,India vs New Zealand,New Zealand,Glenn Phillips,5,0,33,0,6.6
46,India vs New Zealand,India,Jasprit Bumrah,10,1,64,1,6.4
46,India vs New Zealand,India,Mohammed Siraj,9,0,78,1,8.667
46,India vs New Zealand,India,Mohammed Shami,9.5,0,57,7,5.797
46,India vs New Zealand,India,Ravindra Jadeja,10,0,63,0,6.3
46,India vs New Zealand,India,Kuldeep Yadav,10,0,56,1,5.6
47,South Africa vs Australia,Australia,Mitchell Starc,10,1,34,3,3.4
47,South Africa vs Australia,Australia,Josh Hazlewood,8,3,12,2,1.5
47,South Africa vs Australia,Australia,Pat Cummins,9.4,0,51,3,5.276
47,South Africa vs Australia,Australia,Adam Zampa,7,0,55,0,7.857
47,South Africa vs Australia,Australia,Glenn Maxwell,10,0,35,0,3.5
47,South Africa vs Australia,Australia,Travis Head,5,0,21,2,4.2
47,South Africa vs Australia,South Africa,Marco Jansen,4.2,0,35,0,8.077
47,South Africa vs Australia,South Africa,Kagiso Rabada,6,0,41,1,6.833
47,South Africa vs Australia,South Africa,Aiden Markram,8,1,23,1,2.875
47,South Africa vs Australia,South Africa,Gerald Coetzee,9,0,47,2,5.222
47,South Africa vs Australia,South Africa,Tabraiz Shamsi,10,0,42,2,4.2
47,South Africa vs Australia,South Africa,Keshav Maharaj,10,0,24,1,2.4
48,India vs Australia,Australia,Mitchell Starc,10,0,55,3,5.5
48,India vs Australia,Australia,Josh Hazlewood,10,0,60,2,6
48,India vs Australia,Australia,Glenn Maxwell,6,0,35,1,5.833
48,India vs Australia,Australia,Pat Cummins,10,0,34,2,3.4
48,India vs Australia,Australia,Adam Zampa,10,0,44,1,4.4
48,India vs Australia,Australia,Mitchell Marsh,2,0,5,0,2.5
48,India vs Australia,Australia,Travis Head,2,0,4,0,2
48,India vs Australia,India,Jasprit Bumrah,9,2,43,2,4.778
48,India vs Australia,India,Mohammed Shami,7,1,47,1,6.714
48,India vs Australia,India,Ravindra Jadeja,10,0,43,0,4.3
48,India vs Australia,India,Kuldeep Yadav,10,0,56,0,5.6
48,India vs Australia,India,Mohammed Siraj,7,0,45,1,6.429
